用例ID,分类,用户指令,期望工具,期望颜色,期望模式,第1轮,通过率,状态,失败原因（最后一轮）,实际工具,实际颜色,实际模式,备注
T043,图表配色,图表配色改为土豪金,chart-color,golden,,✅,1/1,稳定通过,,chart-color,golden,keep,
T044,图表配色,图表配色改为薄荷绿,chart-color,cyan,,✅,1/1,稳定通过,,chart-color,cyan,keep,
T045,图表配色,图表配色改为水绿,chart-color,cyan,,✅,1/1,稳定通过,,chart-color,cyan,keep,
T046,图表配色,图表配色改为青蓝,chart-color,cyan,,✅,1/1,稳定通过,,chart-color,cyan,keep,
T047,图表配色,图表配色改为马卡龙色系,chart-color,,,✅,1/1,稳定通过,,chart-color,red,keep,
T048,局部样式,组件增加阴影样式,component-optimize,,,❌,0/1,必定失败,"阴影: 期望非空, 实际所有组件 boxShadow 均为 []",component-optimize,blue,keep,阴影指令不应改变背景
T049,局部样式,把组件圆角设为8px,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,圆角指令不应改变背景
T050,局部样式,给图表组件添加阴影效果,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,阴影指令不应改变背景
T051,局部样式,给组件加上圆角和阴影,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,
T052,局部样式,修改页面背景为金色,component-optimize,,,✅,1/1,稳定通过,,component-optimize,golden,keep,
T053,局部样式,圆角设置为50px,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,圆角指令不应改变背景
T054,局部样式,设置圆角为100px,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,圆角指令不应改变背景
T055,局部样式,加个阴影,component-optimize,,,❌,0/1,必定失败,"阴影: 期望非空, 实际所有组件 boxShadow 均为 []",component-optimize,blue,keep,阴影指令不应改变背景
T056,局部样式,给组件加个边框,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,
T057,局部样式,去掉组件圆角,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,
T058,局部样式,所有组件统一背景,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,
T059,局部样式,图表背景设置为草绿色,component-optimize,,,✅,1/1,稳定通过,,component-optimize,green,keep,
T060,局部样式,组件背景改为青色,component-optimize,,,✅,1/1,稳定通过,,component-optimize,cyan,keep,
T061,局部样式,筛选器组件的圆角设置为20px,component-optimize,,,❌,0/1,必定失败,"圆角: 期望 20px, 实际 0px",component-optimize,blue,keep,
T062,局部样式,指标卡增加阴影样式,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,
T063,局部样式,指标卡设置紫色背景,component-optimize,,,✅,1/1,稳定通过,,component-optimize,purple,keep,
T064,局部样式,图表设置红色背景,component-optimize,,,✅,1/1,稳定通过,,component-optimize,red,keep,
T065,局部样式,筛选器设置橙色背景,component-optimize,,,✅,1/1,稳定通过,,component-optimize,orange,keep,
T066,局部样式,关闭圆角,component-optimize,,,❌,0/1,必定失败,工具: 遗漏 ['component-optimize'],,blue,keep,
T067,局部样式,把圆角调大一些大概20px,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,
T068,局部样式,增大组件的阴影效果,component-optimize,,,❌,0/1,必定失败,"阴影: 期望非空, 实际所有组件 boxShadow 均为 []",component-optimize,blue,keep,
T069,局部样式,去掉组件阴影,,,,✅,1/1,稳定通过,,component-optimize,blue,keep,
T070,局部样式,给组件添加一个柔和的阴影,component-optimize,,,✅,1/1,稳定通过,,component-optimize,blue,keep,
T071,复合指令,优化布局添加组件阴影样式并改为雾粉主题图表配色偏马卡龙色系,"layout-optimize,theme-optimize,component-optimize,chart-color",red,,❌,0/1,必定失败,"阴影: 期望非空, 实际所有组件 boxShadow 均为 []","layout-optimize,theme-optimize,chart-color,component-optimize",red,light,
T072,复合指令,帮我重新布局一下顺便换个蓝色主题,"layout-optimize,theme-optimize",blue,keep,✅,1/1,稳定通过,,"layout-optimize,theme-optimize",blue,keep,
T073,复合指令,美化布局并将主题改为千禧风,"layout-optimize,theme-optimize",,,✅,1/1,稳定通过,,"layout-optimize,theme-optimize",red,light,
T074,复合指令,给所有组件加圆角和阴影再优化下配色,"component-optimize,chart-color",,,✅,1/1,稳定通过,,"chart-color,component-optimize",blue,keep,
T075,复合指令,全面美化重排布局换深色主题统一组件风格,"layout-optimize,theme-optimize,component-optimize",,dark,✅,1/1,稳定通过,,"layout-optimize,theme-optimize,component-optimize",blue,dark,
T076,复合指令,调整为绿色科技风格，同时调整仪表板布局，统一组件背景。并返回具体的调整过程，将调用的工具和参数打印出,"layout-optimize,theme-optimize,component-optimize",green,dark,✅,1/1,稳定通过,,"theme-optimize,layout-optimize,component-optimize",green,dark,
T077,拒识,主标题变炫酷一些,[],,,✅,1/1,稳定通过,,,blue,keep,
T078,拒识,主标题加个阴影,[],,,✅,1/1,稳定通过,,,blue,keep,
T079,拒识,主标题背景改为蓝色,[],,,✅,1/1,稳定通过,,,blue,keep,
T080,拒识,主标题增加圆角,[],,,✅,1/1,稳定通过,,,blue,keep,
T081,拒识,帮我改一下图表的数据,[],,,✅,1/1,稳定通过,,,blue,keep,
T082,拒识,删除第一个组件,[],,,✅,1/1,稳定通过,,,blue,keep,
T083,拒识,把标题字体改大,[],,,✅,1/1,稳定通过,,,blue,keep,
T084,拒识,表头换成鸡油黄,[],,,✅,1/1,稳定通过,,,blue,keep,
T085,拒识,今天天气怎么样,[],,,✅,1/1,稳定通过,,,blue,keep,
T086,拒识,主标题加一个20px的边框,[],,,✅,1/1,稳定通过,,,blue,keep,
T087,鲁棒性,将当前仪表板变好看一点,*,,,❌,0/1,必定失败,"工具: 期望非空, 实际为空 []",,blue,keep,
